id_matricula,id_aluno,id,Column1,co_uf_nasc,co_uf_end,co_curso_educ_profissional,co_municipio_end,co_municipio_nasc,co_pais_origem,in_autismo,in_baixa_visao,in_cegueira,in_def_auditiva,in_def_fisica,in_def_intelectual,in_def_multipla,in_surdez,in_surdocegueira,nome_escola_id,nu_ano,nu_ano_censo,nu_dias_atividade,nu_dur_aee_outras_redes,nu_dur_ativ_comp_outras_redes,nu_dur_aee_mesma_rede,nu_duracao_turma,nu_dur_ativ_comp_mesma_rede,nu_idade_referencia,nu_idade,nu_mes,tp_dependencia,tp_cor_raca,tp_sexo,in_necessidade_especial
35508281,117633066236,3791593,3791121,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,355,0,16,17,11,NA,3,2,0
35508282,111960920528,3790376,3789904,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1977,2013,,,0,,240,0,36,36,1,NA,3,1,0
35508283,117626328611,3789650,3789178,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1994,2013,,,0,,355,0,18,19,6,NA,0,1,0
35508284,123704298106,3790321,3789849,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,355,0,13,13,5,NA,0,1,0
35508285,118533124367,3788526,3788054,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,295,0,15,15,4,NA,0,1,0
35508286,124139997280,3787247,3786775,29,29,0,2927408,2904902,76,0,0,0,0,0,0,0,0,0,474,1967,2013,,,0,,240,0,45,46,8,NA,2,1,0
35508288,124139997361,3794472,3794000,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2002,2013,,,0,,0,0,10,11,6,NA,2,2,0
35508289,124139997361,3790322,3789850,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2002,2013,,,0,,355,118,10,11,6,NA,2,2,0
35508290,118530877500,3787716,3787244,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1995,2013,,,0,,295,0,18,18,4,NA,3,2,0
35508291,122147225567,3790377,3789905,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1981,2013,,,0,,240,0,32,32,2,NA,3,2,0
35508292,124139997442,3786504,3786032,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2002,2013,,,0,,295,0,11,11,2,NA,0,2,0
35508293,124139997523,3790948,3790476,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2002,2013,,,0,,295,0,11,11,4,NA,0,2,0
35508294,118533162021,3786891,3786419,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,0,13,14,6,NA,3,1,0
35508295,118532502287,3792173,3791701,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,295,0,12,13,10,NA,3,1,0
35508296,122757550550,3792745,3792273,29,29,0,2927408,2924801,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,295,0,16,16,3,NA,0,1,0
35508297,118533492080,3792793,3792321,29,29,0,2927408,2930709,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,0,0,14,14,4,NA,0,1,0
35508298,118533492080,3790949,3790477,29,29,0,2927408,2930709,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,295,284,14,14,4,NA,0,1,0
35508299,118533492080,3793376,3792904,29,29,0,2927408,2930709,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,0,0,14,14,4,NA,0,1,0
35508300,118533125843,3792746,3792274,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,295,0,17,17,1,NA,3,2,0
35508301,118533140990,3790323,3789851,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,0,13,14,12,NA,3,2,0
35508302,119472771628,3787685,3787213,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,16,16,5,NA,2,2,0
35508303,118533122402,3791522,3791050,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,355,0,14,15,8,NA,0,2,0
35508304,118533160673,3792191,3791719,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,0,0,13,14,8,NA,3,2,0
35508305,118533160673,3793378,3792906,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,0,0,13,14,8,NA,3,2,0
35508306,118533160673,3787271,3786799,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,295,284,13,14,8,NA,3,2,0
35508307,119182717639,3792794,3792322,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,0,0,11,12,9,NA,0,2,0
35508308,119182717639,3790950,3790478,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,295,284,11,12,9,NA,0,2,0
35508309,119182717639,3792189,3791717,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,0,0,11,12,9,NA,0,2,0
35508310,111808772171,3788044,3787572,29,29,0,2927408,2913705,76,0,0,0,0,0,0,0,0,0,474,1994,2013,,,0,,240,0,18,19,10,NA,0,2,0
35508311,111129371106,3787248,3786776,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1992,2013,,,0,,240,0,20,21,6,NA,0,2,0
35508313,117622820546,3792121,3791649,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1992,2013,,,0,,240,0,20,21,6,NA,3,1,0
35508314,117643270804,3791003,3790531,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,295,0,16,17,8,NA,3,1,0
35508315,111808806173,3788045,3787573,29,29,0,2927408,2917508,76,0,0,0,0,0,0,0,0,0,474,1992,2013,,,0,,240,0,21,21,2,NA,3,1,0
35508316,122757550631,3792747,3792275,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1995,2013,,,0,,295,0,18,18,5,NA,3,1,0
35508317,118287889617,3793950,3793478,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1993,2013,,,0,,240,0,19,20,10,NA,0,1,0
35508318,123704298440,3788046,3787574,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1993,2013,,,0,,240,0,19,20,9,NA,3,1,0
35508319,122757550801,3786892,3786420,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,0,13,14,11,NA,2,1,0
35508320,120815779258,3788047,3787575,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1986,2013,,,0,,240,0,27,27,4,NA,2,1,0
35508321,113726592937,3788468,3787996,29,29,0,2927408,2919702,76,0,0,0,0,0,0,0,0,0,474,1994,2013,,,0,,355,0,19,19,1,NA,0,2,0
35508322,118802537630,3788469,3787997,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,355,0,16,17,10,NA,2,2,0
35508323,118532504140,3787680,3787208,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,355,0,17,17,3,NA,2,2,0
35508324,124139997604,3790976,3790504,35,29,0,2927408,3550308,76,0,0,0,0,0,0,0,0,0,474,2002,2013,,,0,,355,0,11,11,1,NA,0,2,0
35508325,118532521400,3786472,3786000,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,355,0,16,17,9,NA,2,2,0
35508326,118532554082,3791546,3791074,29,29,0,2927408,2928703,76,0,0,0,0,0,0,0,0,0,474,2002,2013,,,0,,355,0,11,11,3,NA,0,2,0
35508327,114772181813,3788501,3788029,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1992,2013,,,0,,240,0,21,21,4,NA,2,1,0
35508328,122147225990,3791517,3791045,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,8,NA,0,2,0
35508329,119575893530,3787292,3786820,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,355,0,12,12,4,NA,0,1,0
35508330,118533510402,3790324,3789852,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,118,13,14,6,NA,3,1,0
35508331,118533510402,3794473,3794001,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,0,0,13,14,6,NA,3,1,0
35508332,118532538206,3792748,3792276,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,295,0,15,15,2,NA,3,1,0
35508333,117626165054,3788470,3787998,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,355,0,17,17,1,NA,0,2,0
35508334,113811774688,3788502,3788030,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1995,2013,,,0,,240,0,17,18,12,NA,0,1,0
35508336,118560038174,3793930,3793458,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,6,NA,0,2,0
35508337,119762114506,3786893,3786421,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,0,13,14,10,NA,3,2,0
35508339,117626305670,3793345,3792873,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1993,2013,,,0,,355,0,19,20,6,NA,0,2,0
35508340,112619400677,3790325,3789853,29,29,0,2927408,2910701,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,0,13,14,8,NA,0,2,0
35508341,122150288400,3788493,3788021,29,29,0,2930709,2930709,76,0,0,0,0,0,0,0,0,0,474,1989,2013,,,0,,240,0,23,24,8,NA,3,2,0
35508342,110148673987,3788471,3787999,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1992,2013,,,0,,355,0,20,21,7,NA,0,2,0
35508343,118532537668,3786505,3786033,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,295,0,13,13,2,NA,2,2,0
35508344,120728953160,3791547,3791075,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2001,2013,,,0,,355,0,12,12,2,NA,0,1,0
35508345,119475768440,3792122,3791650,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1995,2013,,,0,,240,0,17,18,10,NA,3,1,0
35508346,119882754235,3792749,3792277,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,295,0,15,16,10,NA,2,1,0
35508347,117643310016,3787717,3787245,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1996,2013,,,0,,295,0,16,17,6,NA,0,1,0
35508348,113393980369,3788503,3788031,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1992,2013,,,0,,240,0,20,21,8,NA,3,1,0
35508350,120672983132,3788084,3787612,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,355,0,14,15,6,NA,2,2,0
35508351,118560014402,3788527,3788055,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,295,0,13,14,12,NA,0,2,0
35508352,118533502906,3793377,3792905,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,0,0,14,15,12,NA,3,2,0
35508353,118533502906,3792190,3791718,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,0,0,14,15,12,NA,3,2,0
35508354,118533502906,3787270,3786798,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1998,2013,,,0,,295,284,14,15,12,NA,3,2,0
35508355,118533139984,3787293,3786821,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,2000,2013,,,0,,355,0,13,13,5,NA,3,2,0
35508356,121696873001,3789651,3789179,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,355,0,14,14,5,NA,0,2,0
35508357,113122320567,3791596,3791124,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1997,2013,,,0,,355,0,15,16,7,NA,3,2,0
35508358,118530874080,3788528,3788056,29,29,0,2927408,2927408,76,0,0,0,0,0,0,0,0,0,474,1999,2013,,,0,,295,0,13,14,11,NA,2,2,0
